name,path,parent_path,is_folder,size,mime_type,extension,hash
.tldr,E:\File_mangement_system\.tldr,E:\File_mangement_system,False,8003,application/octet_stream,,
app,E:\File_mangement_system\app,E:\File_mangement_system,True,0,,,
core,E:\File_mangement_system\core,E:\File_mangement_system,True,0,,,
extra.py,E:\File_mangement_system\extra.py,E:\File_mangement_system,False,187,text/x-python,py,
File_metadata.csv,E:\File_mangement_system\File_metadata.csv,E:\File_mangement_system,False,0,application/vnd.ms-excel,csv,
main.py,E:\File_mangement_system\main.py,E:\File_mangement_system,False,3101,text/x-python,py,
models,E:\File_mangement_system\models,E:\File_mangement_system,True,0,,,
overview.md,E:\File_mangement_system\overview.md,E:\File_mangement_system,False,4518,application/octet_stream,md,
query_writer.sql,E:\File_mangement_system\query_writer.sql,E:\File_mangement_system,False,19,application/octet_stream,sql,
routes,E:\File_mangement_system\routes,E:\File_mangement_system,True,0,,,
run.txt,E:\File_mangement_system\run.txt,E:\File_mangement_system,False,28,text/plain,txt,
schemas,E:\File_mangement_system\schemas,E:\File_mangement_system,True,0,,,
services,E:\File_mangement_system\services,E:\File_mangement_system,True,0,,,
testing.py,E:\File_mangement_system\testing.py,E:\File_mangement_system,False,217,text/x-python,py,
utils,E:\File_mangement_system\utils,E:\File_mangement_system,True,0,,,
app.py,E:\File_mangement_system\app\app.py,E:\File_mangement_system\app,False,832,text/x-python,py,
dependencies.py,E:\File_mangement_system\app\dependencies.py,E:\File_mangement_system\app,False,905,text/x-python,py,
exception_handlers.py,E:\File_mangement_system\app\exception_handlers.py,E:\File_mangement_system\app,False,1390,text/x-python,py,
__init__.py,E:\File_mangement_system\app\__init__.py,E:\File_mangement_system\app,False,212,text/x-python,py,
ai_driver.py,E:\File_mangement_system\core\ai_driver.py,E:\File_mangement_system\core,False,2386,text/x-python,py,
file_utils.py,E:\File_mangement_system\core\file_utils.py,E:\File_mangement_system\core,False,4292,text/x-python,py,
mcp_registry.py,E:\File_mangement_system\core\mcp_registry.py,E:\File_mangement_system\core,False,6334,text/x-python,py,
__init__.py,E:\File_mangement_system\core\__init__.py,E:\File_mangement_system\core,False,161,text/x-python,py,
file_model.py,E:\File_mangement_system\models\file_model.py,E:\File_mangement_system\models,False,867,text/x-python,py,
task_model.py,E:\File_mangement_system\models\task_model.py,E:\File_mangement_system\models,False,830,text/x-python,py,
user_model.py,E:\File_mangement_system\models\user_model.py,E:\File_mangement_system\models,False,250,text/x-python,py,
__init__.py,E:\File_mangement_system\models\__init__.py,E:\File_mangement_system\models,False,128,text/x-python,py,
execute_router.py,E:\File_mangement_system\routes\execute_router.py,    ,False,506,text/x-python,py,
file_router.py,E:\File_mangement_system\routes\file_router.py,E:\File_mangement_system\routes,False,1116,text/x-python,py,
query_router.py,E:\File_mangement_system\routes\query_router.py,E:\File_mangement_system\routes,False,1143,text/x-python,py,
server_router.py,E:\File_mangement_system\routes\server_router.py,E:\File_mangement_system\routes,False,249,text/x-python,py,
start_router.py,E:\File_mangement_system\routes\start_router.py,E:\File_mangement_system\routes,False,469,text/x-python,py,
task_router.py,E:\File_mangement_system\routes\task_router.py,E:\File_mangement_system\routes,False,621,text/x-python,py,
tools_router.py,E:\File_mangement_system\routes\tools_router.py,E:\File_mangement_system\routes,False,367,text/x-python,py,
user_router.py,E:\File_mangement_system\routes\user_router.py,E:\File_mangement_system\routes,False,749,text/x-python,py,
__init__.py,E:\File_mangement_system\routes\__init__.py,E:\File_mangement_system\routes,False,577,text/x-python,py,
file_schema.py,E:\File_mangement_system\schemas\file_schema.py,E:\File_mangement_system\schemas,False,1313,text/x-python,py,
query_schema.py,E:\File_mangement_system\schemas\query_schema.py,E:\File_mangement_system\schemas,False,84,text/x-python,py,
task_schema.py,E:\File_mangement_system\schemas\task_schema.py,E:\File_mangement_system\schemas,False,542,text/x-python,py,
tool_schema.py,E:\File_mangement_system\schemas\tool_schema.py,E:\File_mangement_system\schemas,False,159,text/x-python,py,
user_schema.py,E:\File_mangement_system\schemas\user_schema.py,E:\File_mangement_system\schemas,False,230,text/x-python,py,
__init__.py,E:\File_mangement_system\schemas\__init__.py,E:\File_mangement_system\schemas,False,491,text/x-python,py,
db_service.py,E:\File_mangement_system\services\db_service.py,E:\File_mangement_system\services,False,2729,text/x-python,py,
file_service.py,E:\File_mangement_system\services\file_service.py,E:\File_mangement_system\services,False,6199,text/x-python,py,
query_service.py,E:\File_mangement_system\services\query_service.py,E:\File_mangement_system\services,False,2415,text/x-python,py,
task.py,E:\File_mangement_system\services\task.py,E:\File_mangement_system\services,False,0,text/x-python,py,
task_service.py,E:\File_mangement_system\services\task_service.py,E:\File_mangement_system\services,False,1498,text/x-python,py,
__init__.py,E:\File_mangement_system\services\__init__.py,E:\File_mangement_system\services,False,228,text/x-python,py,
Config.py,E:\File_mangement_system\utils\Config.py,E:\File_mangement_system\utils,False,395,text/x-python,py,
database.py,E:\File_mangement_system\utils\database.py,E:\File_mangement_system\utils,False,980,text/x-python,py,
data_saver.py,E:\File_mangement_system\utils\data_saver.py,E:\File_mangement_system\utils,False,448,text/x-python,py,
logging_config.py,E:\File_mangement_system\utils\logging_config.py,E:\File_mangement_system\utils,False,1399,text/x-python,py,
__init__.py,E:\File_mangement_system\utils\__init__.py,E:\File_mangement_system\utils,False,306,text/x-python,py,
